1 seconds          ,5 seconds           ,10 seconds          ,15 seconds          ,20 seconds          ,25 seconds          ,30 seconds          ,35 seconds          ,40 seconds          ,45 seconds          ,50 seconds          ,55 seconds          ,60 seconds          ,65 seconds          ,71 seconds          ,75 seconds          ,80 seconds          ,85 seconds          ,90 seconds         ,95 seconds         ,100 seconds        ,105 seconds        ,110 seconds        ,115 seconds        ,120 seconds
16.93764705882353  , 19.17529411764706  , 21.41294117647059  , 23.650588235294116 , 25.88823529411765  , 27.007058823529412 , 29.24470588235294  , 31.48235294117647  , 32.601176470588236 , 35.957647058823525 , 37.076470588235296 , 33.72              , 40.43294117647059  , 41.55176470588235  , 37.076470588235296 , 40.43294117647059  , 37.076470588235296 , 32.601176470588236 ,28.125882352941176 ,27.007058823529412 ,25.88823529411765  ,25.88823529411765  ,25.88823529411765  ,28.125882352941176 ,24.769411764705882
18.056470588235292 , 20.294117647058822 , 22.531764705882352 , 23.650588235294116 , 27.007058823529412 , 27.007058823529412 , 30.363529411764706 , 31.48235294117647  , 33.72              , 35.957647058823525 , 38.19529411764706  , 33.72              , 41.55176470588235  , 42.67058823529412  , 38.19529411764706  , 41.55176470588235  , 37.076470588235296 , 32.601176470588236 ,28.125882352941176 ,27.007058823529412 ,25.88823529411765  ,25.88823529411765  ,25.88823529411765  ,28.125882352941176 ,24.769411764705882
18.056470588235292 , 20.294117647058822 , 22.531764705882352 , 24.769411764705882 , 28.125882352941176 , 28.125882352941176 , 31.48235294117647  , 32.601176470588236 , 34.83882352941177  , 37.076470588235296 , 39.31411764705882  , 34.83882352941177  , 42.67058823529412  , 43.78941176470588  , 39.31411764705882  , 42.67058823529412  , 37.076470588235296 , 33.72              ,29.24470588235294  ,27.007058823529412 ,25.88823529411765  ,25.88823529411765  ,25.88823529411765  ,28.125882352941176 ,24.769411764705882
16.93764705882353  , 20.294117647058822 , 23.650588235294116 , 24.769411764705882 , 28.125882352941176 , 29.24470588235294  , 32.601176470588236 , 33.72              , 37.076470588235296 , 39.31411764705882  , 40.43294117647059  , 34.83882352941177  , 43.78941176470588  , 44.908235294117645 , 42.67058823529412  , 43.78941176470588  , 38.19529411764706  , 35.957647058823525 ,29.24470588235294  ,28.125882352941176 ,27.007058823529412 ,27.007058823529412 ,27.007058823529412 ,28.125882352941176 ,24.769411764705882
16.93764705882353  , 20.294117647058822 , 23.650588235294116 , 25.88823529411765  , 29.24470588235294  , 30.363529411764706 , 32.601176470588236 , 34.83882352941177  , 38.19529411764706  , 40.43294117647059  , 40.43294117647059  , 35.957647058823525 , 44.908235294117645 , 47.14588235294117  , 42.67058823529412  , 44.908235294117645 , 40.43294117647059  , 35.957647058823525 ,29.24470588235294  ,28.125882352941176 ,27.007058823529412 ,27.007058823529412 ,27.007058823529412 ,28.125882352941176 ,24.769411764705882
16.93764705882353  , 21.41294117647059  , 23.650588235294116 , 25.88823529411765  , 29.24470588235294  , 30.363529411764706 , 33.72              , 35.957647058823525 , 39.31411764705882  , 42.67058823529412  , 42.67058823529412  , 37.076470588235296 , 44.908235294117645 , 49.38352941176471  , 43.78941176470588  , 46.027058823529416 , 41.55176470588235  , 37.076470588235296 ,29.24470588235294  ,28.125882352941176 ,27.007058823529412 ,27.007058823529412 ,27.007058823529412 ,28.125882352941176 ,24.769411764705882
16.93764705882353  , 21.41294117647059  , 24.769411764705882 , 27.007058823529412 , 29.24470588235294  , 31.48235294117647  , 33.72              , 37.076470588235296 , 42.67058823529412  , 43.78941176470588  , 43.78941176470588  , 37.076470588235296 , 48.26470588235294  , 50.50235294117647  , 44.908235294117645 , 47.14588235294117  , 42.67058823529412  , 37.076470588235296 ,29.24470588235294  ,28.125882352941176 ,27.007058823529412 ,27.007058823529412 ,27.007058823529412 ,28.125882352941176 ,25.88823529411765
16.93764705882353  , 21.41294117647059  , 25.88823529411765  , 28.125882352941176 , 30.363529411764706 , 31.48235294117647  , 34.83882352941177  , 40.43294117647059  , 43.78941176470588  , 46.027058823529416 , 44.908235294117645 , 37.076470588235296 , 50.50235294117647  , 51.62117647058824  , 47.14588235294117  , 49.38352941176471  , 43.78941176470588  , 38.19529411764706  ,29.24470588235294  ,29.24470588235294  ,27.007058823529412 ,27.007058823529412 ,27.007058823529412 ,29.24470588235294  ,25.88823529411765
18.056470588235292 , 22.531764705882352 , 27.007058823529412 , 30.363529411764706 , 31.48235294117647  , 32.601176470588236 , 37.076470588235296 , 40.43294117647059  , 44.908235294117645 , 47.14588235294117  , 46.027058823529416 , 38.19529411764706  , 52.739999999999995 , 52.739999999999995 , 48.26470588235294  , 50.50235294117647  , 46.027058823529416 , 39.31411764705882  ,30.363529411764706 ,29.24470588235294  ,28.125882352941176 ,28.125882352941176 ,27.007058823529412 ,29.24470588235294  ,25.88823529411765
18.056470588235292 , 22.531764705882352 , 28.125882352941176 , 31.48235294117647  , 32.601176470588236 , 33.72              , 38.19529411764706  , 41.55176470588235  , 46.027058823529416 , 48.26470588235294  , 47.14588235294117  , 38.19529411764706  , 54.977647058823536 , 54.977647058823536 , 49.38352941176471  , 51.62117647058824  , 47.14588235294117  , 40.43294117647059  ,30.363529411764706 ,29.24470588235294  ,28.125882352941176 ,28.125882352941176 ,28.125882352941176 ,29.24470588235294  ,27.007058823529412
