1 seconds,15 seconds,30 seconds,45 seconds,60 seconds,75 seconds,90 seconds,105 seconds,120 seconds
16.93764705882353,23.650588235294116,29.24470588235294,42.67058823529412,38.19529411764706,38.19529411764706,28.125882352941176,25.88823529411765,23.650588235294116
16.93764705882353,23.650588235294116,29.24470588235294,44.908235294117645,39.31411764705882,39.31411764705882,28.125882352941176,25.88823529411765,23.650588235294116
16.93764705882353,24.769411764705882,30.363529411764706,47.14588235294117,39.31411764705882,40.43294117647059,29.24470588235294,27.007058823529412,23.650588235294116
18.056470588235292,24.769411764705882,31.48235294117647,48.26470588235294,39.31411764705882,41.55176470588235,29.24470588235294,27.007058823529412,23.650588235294116
18.056470588235292,25.88823529411765,32.601176470588236,50.50235294117647,40.43294117647059,42.67058823529412,29.24470588235294,27.007058823529412,24.769411764705882
19.17529411764706,25.88823529411765,32.601176470588236,53.858823529411765,41.55176470588235,43.78941176470588,29.24470588235294,28.125882352941176,24.769411764705882
19.17529411764706,27.007058823529412,32.601176470588236,56.09647058823529,42.67058823529412,44.908235294117645,29.24470588235294,28.125882352941176,25.88823529411765
19.17529411764706,28.125882352941176,33.72,58.33411764705883,43.78941176470588,46.027058823529416,29.24470588235294,28.125882352941176,25.88823529411765
20.294117647058822,30.363529411764706,34.83882352941177,60.57176470588236,43.78941176470588,47.14588235294117,30.363529411764706,28.125882352941176,27.007058823529412
20.294117647058822,31.48235294117647,37.076470588235296,63.92823529411764,44.908235294117645,49.38352941176471,30.363529411764706,28.125882352941176,27.007058823529412
20.294117647058822,32.601176470588236,39.31411764705882,67.28470588235295,48.26470588235294,50.50235294117647,30.363529411764706,28.125882352941176,27.007058823529412
20.294117647058822,32.601176470588236,41.55176470588235,69.52235294117648,48.26470588235294,51.62117647058824,31.48235294117647,28.125882352941176,27.007058823529412
20.294117647058822,33.72,41.55176470588235,72.87882352941176,49.38352941176471,52.739999999999995,31.48235294117647,28.125882352941176,27.007058823529412
20.294117647058822,33.72,43.78941176470588,77.35411764705883,51.62117647058824,54.977647058823536,31.48235294117647,29.24470588235294,27.007058823529412
20.294117647058822,34.83882352941177,46.027058823529416,80.71058823529413,53.858823529411765,57.21529411764706,31.48235294117647,29.24470588235294,28.125882352941176
21.41294117647059,35.957647058823525,48.26470588235294,84.06705882352942,56.09647058823529,59.45294117647059,31.48235294117647,30.363529411764706,28.125882352941176
22.531764705882352,37.076470588235296,50.50235294117647,87.4235294117647,57.21529411764706,60.57176470588236,31.48235294117647,30.363529411764706,29.24470588235294
22.531764705882352,39.31411764705882,52.739999999999995,90.78,58.33411764705883,61.690588235294115,33.72,30.363529411764706,29.24470588235294
21.41294117647059,40.43294117647059,56.09647058823529,95.25529411764707,62.809411764705885,63.92823529411764,33.72,30.363529411764706,28.125882352941176
21.41294117647059,41.55176470588235,59.45294117647059,99.73058823529412,65.04705882352941,66.16588235294118,33.72,31.48235294117647,28.125882352941176
22.531764705882352,43.78941176470588,61.690588235294115,105.32470588235294,67.28470588235295,67.28470588235295,34.83882352941177,31.48235294117647,29.24470588235294
24.769411764705882,46.027058823529416,66.16588235294118,109.8,70.64117647058823,68.40352941176471,34.83882352941177,31.48235294117647,29.24470588235294
22.531764705882352,47.14588235294117,68.40352941176471,114.27529411764706,72.87882352941176,70.64117647058823,35.957647058823525,32.601176470588236,30.363529411764706
22.531764705882352,49.38352941176471,71.76,119.8694117647059,75.1164705882353,72.87882352941176,35.957647058823525,32.601176470588236,30.363529411764706
23.650588235294116,50.50235294117647,75.1164705882353,124.34470588235295,79.59176470588235,75.1164705882353,37.076470588235296,32.601176470588236,30.363529411764706
23.650588235294116,52.739999999999995,78.4729411764706,131.05764705882353,81.82941176470588,76.23529411764706,39.31411764705882,33.72,30.363529411764706
24.769411764705882,54.977647058823536,82.94823529411765,135.5329411764706,85.18588235294119,78.4729411764706,39.31411764705882,34.83882352941177,30.363529411764706
25.88823529411765,57.21529411764706,87.4235294117647,141.1270588235294,88.54235294117649,80.71058823529413,40.43294117647059,34.83882352941177,31.48235294117647
25.88823529411765,58.33411764705883,90.78,146.72117647058823,93.01764705882354,81.82941176470588,40.43294117647059,35.957647058823525,31.48235294117647
25.88823529411765,61.690588235294115,96.37411764705882,154.55294117647057,96.37411764705882,82.94823529411765,41.55176470588235,37.076470588235296,31.48235294117647
27.007058823529412,65.04705882352941,100.84941176470588,159.02823529411762,99.73058823529412,85.18588235294119,42.67058823529412,37.076470588235296,32.601176470588236
27.007058823529412,68.40352941176471,106.44352941176471,166.85999999999999,104.20588235294119,87.4235294117647,43.78941176470588,38.19529411764706,32.601176470588236
28.125882352941176,71.76,110.91882352941178,172.45411764705884,109.8,89.66117647058825,43.78941176470588,39.31411764705882,32.601176470588236
29.24470588235294,75.1164705882353,115.39411764705883,179.1670588235294,114.27529411764706,90.78,47.14588235294117,39.31411764705882,32.601176470588236
29.24470588235294,79.59176470588235,122.10705882352941,185.88,117.63176470588236,91.89882352941177,47.14588235294117,39.31411764705882,32.601176470588236
30.363529411764706,82.94823529411765,128.82,190.35529411764708,122.10705882352941,94.1364705882353,47.14588235294117,39.31411764705882,33.72
31.48235294117647,86.30470588235295,133.29529411764707,197.06823529411764,127.70117647058824,96.37411764705882,48.26470588235294,40.43294117647059,33.72
31.48235294117647,89.66117647058825,141.1270588235294,203.78117647058824,132.17647058823528,97.4929411764706,49.38352941176471,40.43294117647059,33.72
32.601176470588236,94.1364705882353,146.72117647058823,209.37529411764706,135.5329411764706,98.61176470588236,50.50235294117647,41.55176470588235,34.83882352941177
